Channel	Type	Level 1	Level 2	Level 3	Level 4	Level 5	Level 6	Priority	Progress	Start	Due	Duration (Days)	Milestone	Resources
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Inteligencia Artificial											
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Apple	Ipad										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Apple	Ebook										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Apple	Macbook										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Apple	Imac										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Apple	Iphone										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Innovación, Novedad											
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Invención, invento, inventiva											
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Teléfono, Tel	Móvil, Mobile										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Teléfono, Tel	Fijo										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Electrónica											
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Computadora, Ordenador, PC, Máquina											
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Notebook, Laptop, Computadora portatil											
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Tablet											
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Computación	Ciencias de la Computación										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Hackeo, Hacker											
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Hardware											
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Software											
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	WiFi											
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Redes, Red, Net	Internet										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Redes, Red, Net	Intranet										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Redes, Red, Net	LAN										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Redes, Red, Net	WAN										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Redes, Red, Net	MAN										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Redes, Red, Net	WLAN										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Redes, Red, Net	WMAN										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Redes, Red, Net	PAN										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Redes, Red, Net	SAN										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Redes, Red, Net	CAN										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Redes sociales	YouTube										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Redes sociales	Twiter										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Redes sociales	Linkedin										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Redes sociales	Facebook										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Redes sociales	Flickr										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Redes sociales	Google										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Redes sociales	MSN										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Redes sociales	MySpace										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Redes sociales	Instagram										
Conocimiento	Vida y Conocimiento	Tecnología, Tecno	Redes sociales	Whatsapp										
