Type,Level 1
Ocupación,Abogado
Ocupación,Actor
Ocupación,Actuario
Ocupación,Administrador de Empresas
Ocupación,Aduanero
Ocupación,Agente de bolsas
Ocupación,Agente de migración
Ocupación,Agente de seguros
Ocupación,Agente de viajes
Ocupación,Agente inmobiliario
Ocupación,Agricultor
Ocupación,Albañil
Ocupación,Alergista
Ocupación,Alfarero
Ocupación,Ama de Casa
Ocupación,Anatomista
Ocupación,Anestesista
Ocupación,Animador
Ocupación,Antropólogo
Ocupación,Apicultor
Ocupación,Archivero
Ocupación,Armero
Ocupación,Arqueólogo
Ocupación,Arquitecto
Ocupación,Artesano
Ocupación,Asesor
Ocupación,Asistente
Ocupación,Asistente Social
Ocupación,Astrólogo
Ocupación,Astronauta
Ocupación,Astrónomo
Ocupación,Atleta
Ocupación,Autor
Ocupación,Avicultor
Ocupación,Azafata
Ocupación,Bactereólogo
Ocupación,Bailarín
Ocupación,Barbero
Ocupación,Barrendero
Ocupación,Bartender
Ocupación,Bibliotecario
Ocupación,Biólogo
Ocupación,Bioquímico
Ocupación,Bombero
Ocupación,Bordador
Ocupación,Botánico
Ocupación,Cajero
Ocupación,Cambista
Ocupación,Campesino
Ocupación,Cantante
Ocupación,Capataz
Ocupación,Cardiólogo
Ocupación,Carnicero
Ocupación,Carpintero
Ocupación,Cartógrafo
Ocupación,Casero
Ocupación,Catedrático
Ocupación,Ceramista
Ocupación,Cerrajero
Ocupación,Chaman
Ocupación,Chapista
Ocupación,Chef
Ocupación,Chofer
Ocupación,Científico
Ocupación,Cineasta
Ocupación,Citólogo
Ocupación,Climatólogo
Ocupación,Cobrador
Ocupación,Cocinero
Ocupación,Comerciante
Ocupación,Compositor
Ocupación,Comunicador
Ocupación,Consejero
Ocupación,Conserje
Ocupación,Constructor
Ocupación,Contador
Ocupación,Contratista
Ocupación,Coordinador
Ocupación,Cosmógrafo
Ocupación,Cosmólogo
Ocupación,Costurera
Ocupación,Criminólogo
Ocupación,Cronólogo
Ocupación,Cura
Ocupación,Curandero
Ocupación,Decano
Ocupación,Decorador
Ocupación,Delegado
Ocupación,Demógrafo
Ocupación,Deportista
Ocupación,Dermatólogo
Ocupación,Deshollinador
Ocupación,Dibujante
Ocupación,Directivo
